TransactionID,CustomerID,Date,Category,Gender,Age,Location,Quantity,Sales,Profit,Channel
TXN-2024-000522,CUST-0058,"Nov 22, 2024",Wallflower & Air Freshener,,61,Lethbridge (AB),1,$12.11,CAD 6.63,Online
TXN-2023-000738,CUST-0312,10/07/2023,Body Care,N/A,,Vaughan  Ontario,2,N/A,17.39,Online
TXN-2024-000741,CUST-0309, 05/20/2024  ,Men's,F,29,Toronto ON,1,"29,53",13.19,Online
TXN-2024-000661,CUST-0127,04/10/2024,Wallflower & Air Freshener,FEMALE,38,Kitchener Ontario,1,7.33,CAD 2.94,Store
TXN-2023-000412,CUST-0005,14/06/2023,Wallflower & Air Freshener,male,59,Vaughan (Ontario),2,CAD 54.88,20.71,Online
TXN-2024-000679,CUST-0252,"Dec 05, 2024",Candles,,55,"Calgary,Alberta",2,"106,03","42,40",Store
TXN-2023-000627,CUST-0235,06-Aug-2023,Candles,FEMALE,65,"Gatineau, Quebec",2,15.74,$7.12,Store
TXN-2023-000514,CUST-0253,2023-03-22,Men's,M,56,Ottawa Ontari0,4,"96,46",$24.26,Store
TXN-2024-000860,CUST-0095,10-Jun-2024,Wallflower & Air Freshener,MALE,39,"Mississauga, Ontario",1,24.32,8.65,Online
TXN-2024-000137,CUST-0248,21/07/2024,Wallflower & Air Freshener,U,50,Alberta - Edmonton,-4,-50.65,-16.77,Store
Txn-2023-000812,CUST-0305,2023.01.11,Body Care,M,twenty,Saskatoon-SK,1,23.1,"11,04",Store
TXN-2024-000077,CUST-0070,25/12/2024,Wallflower & Air Freshener,M,14,"Vancouver,British Columbia",2,$46.39,N/A,Online
TXN-2023-000637,CUST-0102,02/07/2023,Men's,female,69, Laval  Quebec ,1,CAD 16.21,8.67,Store
TXN-2023-000593,CUST-0211,2023.04.21,Candles,Female,60,Mississauga (Ontario),1,$8.39,$2.65,Store
TXN-2023-000939,CUST-0293,11/18/2023,Wallflower & Air Freshener,F,54,Laval  Quebe,1,"8,28",1.43,Online
TXN-2023-000900,CUST-0086 ,01/16/2023,Men's,female,40,Ontario - Ottawa,1,$18.44,7.13,Online
TXN-2024-000281,CUST-0099,2024.03.08,Men's,FEMALE,65,"Laval,Quebe",1,16.02,8.09,Store
TXN-2024-000884,CUST-0012,2024.05.29,Candles,FEMALE,21,Laval Quebec,2,54.5,28.76,Store
TXN-2023-000762,CUST-0051,27/04/2023,Candles,F,19,"London,ONTARIO",-2,$-13.81,"-19,81",Store
TXN-2023-000320,CUST-0211,2023-11-07,Men's,female,66,Longueuil (Quebec),3,69.53,CAD 29.48,Store
Txn-2024-000550,CUST-0170,09-May-2024,Body Care,Female,50,Red Deer-AB,1,23.52,12.51,Online
TXN-2023-000175,CUST-0140,14-Mar-2023,Body Care,MALE,71,Kelowna  BRITISH COLUMBIA,2,20.26,5.4,Online
TXN-2024-000372,CUST-0053,09/06/2024,Wallflower & Air Freshener,M,18,Winnipeg (MANITOBA),1,4.92,2.78,Store
TXN-2024-000528,CUST-0061,28-Apr-2024,Hand Soap & Sanitizer,F,44,"Markham,ON",2,15.32,6.15,Online
Txn-2024-000211,CUST-0312,2024-07-03,Men's,Prefer not to say,47,Halifax (ns),3,CAD 99.20,31.93,Online
TXN-2024-000236,CUST-0034 ,"Nov 11, 2024",Body Care,MALE,74,"Longueuil,Quebec",1, 15.43 CAD ,7.69,Online
TXN-2023-000102,CUST-0061,4/7/2023,Candles,Male,44,"Calgary,Albert",1,31.02,11.15,Online
TXN-2024-000652,CUST-0203,25/11/2024,Wallflower & Air Freshener,FEMALE,46,"Longueuil,Quebe",3,48.76,27.2,Store
TXN-2024-000903,CUST-0287,"May 12, 2024",Candles,MALE,43,Edmonton AB,4,47.77,29.42,Store
TXN-2023-000948,CUST-0164,04-Mar-2023,Wallflower & Air Freshener,Male,48,"Richmond,British Columbi",1, 13.96 CAD ,4.71,Store
TXN-2023-000347,CUST-0225,16-Sep-2023,Candles,F,44,"Sherbrooke,Quebe",1,44.26,29.12,Online
TXN-2024-000140,CUST-0071,16-Jul-2024,Hand Soap & Sanitizer,M,73,Windsor  Ontario,1,$13.32,4.92,Store
TXN-2023-000622,CUST-0136,03/07/2023,Candles,N/A,31,Brampton / Ontari,1,"36,69",20.08,Store
TXN-2023-000500,CUST-0223,"Feb 03, 2023",Men's,FEMALE,34,"Mississauga,ONTARIO",1,$18.94,9.78,Online
TXN-2023-000371,CUST-0279 ,2023.12.25,Hand Soap & Sanitizer,F,14,St. John's  Newfoundland and Labrado,1,8.0,2.86,Online
TXN-2024-000199,CUST-0110,"Dec 21, 2024",Candles,Male,Thirty,Laval-qc,3,$210.48,,Online
TXN-2023-000688,CUST-0155,05/11/2023,Candles,Female,38,on - Vaughan,3,124.14,47.04,Store
TXN-2024-000585,CUST-0193, 2024.08.12  ,Hand Soap & Sanitizer,FEMALE,26,Quebec - Longueuil,2,CAD 37.33,8.86,Store
TXN-2024-000902,CUST-0211,02/07/2024,Wallflower & Air Freshener,F,33,London-on,1,$4.84,2.2,Online
TXN-2024-000060,CUST-0316,2024-02-30,Candles,FEMALE,44,"Sherbrooke, Quebec",2,94.83,$46.75,Online
TXN-2023-000329,CUST-0124,29-Jan-2023,Men's,male,57,Surrey-BRITISH COLUMBIA,2,26.02,7.22,Online
TXN-2023-000097,CUST-0152,01/25/2023,Candles,N/A,75,"Vancouver, British Columbia",1,$40.20,$17.03,Store
TXN-2024-000313,CUST-0161,2024-06-08,Hand Soap & Sanitizer,Male,20,Saskatoon-Saskatch3wan,1,22.47, 10.57 CAD ,Online
TXN-2024-000413,CUST-0125, 01/20/2024  ,Men's,MALE,42,Kelowna / British Columbi,1,—,$6.70,Online
TXN-2023-000300,CUST-0229,25/03/2023,Body Care,M,19, Windsor  ONTARIO ,5,82.49,CAD 19.50,Store
TXN-2023-000278,CUST-0309,7/6/2023,Men's,male,50,Red Deer  Alberta,1,10.37,5.19,Store
TXN-2024-000925,CUST-0028,"Jul 24, 2024",Body Care,F,68,"Montreal,qc",2,39.19, 11.50 CAD ,Store
TXN-2024-000602,CUST-0217,2024.12.09,Men's,male,34,"Burnaby,British Columbia",3,,$49.38,Online
TXN-2023-000440,CUST-0291,2023.01.24,Hand Soap & Sanitizer,Female,53,Sherbrooke  Quebe,1,19.01,$4.43,Store
